item_id,version_group_id,currency_id,purchase_price,sell_price
1,1,1,,0
1,2,1,,0
1,3,1,,0
1,4,1,,0
1,28,1,,0
1,29,1,,0
2,1,1,1200,600
2,2,1,1200,600
2,3,1,1200,600
2,4,1,1200,600
2,5,1,1200,600
2,6,1,1200,600
2,7,1,1200,600
2,8,1,1200,600
2,9,1,1200,600
2,10,1,1200,600
2,11,1,1200,600
2,14,1,1200,600
2,15,1,1200,600
2,16,1,1200,600
2,17,1,800,400
2,18,1,800,400
2,19,1,500,250
2,20,1,800,400
2,23,1,1200,600
2,24,1,600,150
2,25,1,800,200
2,28,1,1200,600
2,29,1,1200,600
2,30,1,600,150
3,1,1,600,300
3,2,1,600,300
3,3,1,600,300
3,4,1,600,300
3,5,1,600,300
3,6,1,600,300
3,7,1,600,300
3,8,1,600,300
3,9,1,600,300
3,10,1,600,300
3,11,1,600,300
3,14,1,600,300
3,15,1,600,300
3,16,1,600,300
3,17,1,600,300
3,18,1,600,300
3,19,1,300,150
3,20,1,600,300
3,23,1,600,300
3,24,1,300,75
3,25,1,600,150
3,28,1,600,300
3,29,1,600,300
3,30,1,300,75
6,5,1,1000,500
6,6,1,1000,500
6,7,1,1000,500
6,8,1,1000,500
6,9,1,1000,500
6,10,1,1000,500
6,11,1,1000,500
6,14,1,1000,500
6,15,1,1000,500
6,16,1,1000,500
6,17,1,1000,500
6,18,1,1000,500
6,20,1,1000,500
6,23,1,1000,500
6,25,1,1000,250
6,30,1,1000,250
7,5,1,1000,500
7,6,1,1000,500
7,7,1,,500
7,8,1,,500
7,9,1,,500
7,10,1,1000,500
7,11,1,1000,500
7,14,1,1000,500
7,15,1,1000,500
7,16,1,1000,500
7,17,1,1000,500
7,18,1,1000,500
7,20,1,1000,500
7,23,1,,500
7,25,1,1000,250
7,30,1,1000,250
8,5,1,1000,500
8,6,1,1000,500
8,7,1,1000,500
8,8,1,1000,500
8,9,1,1000,500
8,10,1,1000,500
8,11,1,1000,500
8,14,1,1000,500
8,15,1,1000,500
8,16,1,1000,500
8,17,1,1000,500
8,18,1,1000,500
8,20,1,1000,500
8,23,1,1000,500
8,25,1,1000,250
8,30,1,1000,250
9,5,1,1000,500
9,6,1,1000,500
9,7,1,1000,500
9,8,1,1000,500
9,9,1,1000,500
9,10,1,1000,500
9,11,1,1000,500
9,14,1,1000,500
9,15,1,1000,500
9,16,1,1000,500
9,17,1,1000,500
9,18,1,1000,500
9,20,1,1000,500
9,23,1,1000,500
9,25,1,1000,250
9,30,1,1000,250
10,5,1,1000,500
10,6,1,1000,500
10,7,1,1000,500
10,8,1,1000,500
10,9,1,1000,500
10,10,1,1000,500
10,11,1,1000,500
10,14,1,1000,500
10,15,1,1000,500
10,16,1,1000,500
10,17,1,1000,500
10,18,1,1000,500
10,20,1,1000,500
10,23,1,1000,500
10,25,1,1000,250
10,30,1,1000,250
11,5,1,1000,500
11,6,1,1000,500
11,7,1,1000,500
11,8,1,1000,500
11,9,1,1000,500
11,10,1,1000,500
11,11,1,1000,500
11,14,1,1000,500
11,15,1,1000,500
11,16,1,1000,500
11,17,1,1000,500
11,18,1,1000,500
11,20,1,3000,1500
11,23,1,1000,500
11,25,1,3000,750
11,30,1,3000,750
12,5,1,,100
12,6,1,,100
12,7,1,,100
12,8,1,,100
12,9,1,,100
12,10,1,,100
12,15,1,200,100
12,16,1,,100
12,17,1,,10
12,18,1,,10
12,19,1,,50
12,20,1,,10
12,23,1,,100
12,25,1,,5
12,30,1,200,50
13,8,1,1000,500
13,9,1,1000,500
13,10,1,1000,500
13,11,1,1000,500
13,14,1,1000,500
13,15,1,1000,500
13,16,1,1000,500
13,17,1,1000,500
13,18,1,1000,500
13,20,1,1000,500
13,23,1,1000,500
13,25,1,1000,250
13,30,1,1000,250
14,8,1,300,150
14,9,1,300,150
14,10,1,300,150
14,11,1,300,150
14,14,1,300,150
14,15,1,300,150
14,16,1,300,150
14,17,1,300,150
14,18,1,300,150
14,20,1,300,150
14,23,1,300,150
14,25,1,300,75
14,30,1,300,75
15,8,1,1000,500
15,9,1,1000,500
15,10,1,1000,500
15,11,1,1000,500
15,14,1,1000,500
15,15,1,1000,500
15,16,1,1000,500
15,17,1,1000,500
15,18,1,1000,500
15,20,1,1000,500
15,23,1,1000,500
15,25,1,1000,250
15,30,1,1000,250
305,1,1,3000,1500
305,2,1,3000,1500
305,3,1,,1500
305,4,1,,1500
305,5,1,,1500
305,6,1,,1500
305,7,1,,1500
305,16,1,5000,
305,20,1,40000,
305,23,1,,1500
305,25,1,,400
305,28,1,3000,1500
305,29,1,3000,1500
306,1,1,2000,1000
306,2,1,2000,1000
306,3,1,2000,1000
306,4,1,2000,1000
306,5,1,,1500
306,6,1,,1500
306,7,1,,1500
306,8,1,,1500
306,9,1,,1500
306,10,1,,1500
306,12,1,,1500
306,13,1,,1500
306,23,1,,1500
306,25,1,,400
449,3,1,,150
449,4,1,,150
449,10,1,,150
449,11,1,,150
449,14,1,,150
449,15,1,,150
449,16,1,,150
450,3,1,,150
450,4,1,,150
450,10,1,,150
450,11,1,,150
450,14,1,,150
450,15,1,,150
450,16,1,,150
451,3,1,,150
451,4,1,,150
451,10,1,,150
451,11,1,,150
451,14,1,,150
451,15,1,,150
451,16,1,,150
452,3,1,,150
452,4,1,,150
452,10,1,,150
452,11,1,,150
452,14,1,,150
452,15,1,,150
452,16,1,,150
452,24,1,120,30
453,3,1,,150
453,4,1,,150
453,10,1,,150
453,11,1,,150
453,14,1,,150
453,15,1,,150
453,16,1,,150
454,3,1,,150
454,4,1,,150
454,10,1,,150
454,11,1,,150
454,14,1,,150
454,15,1,,150
454,16,1,,150
455,3,1,,150
455,4,1,,150
455,10,1,,150
455,11,1,,150
455,14,1,,150
455,15,1,,150
455,16,1,,150
457,10,1,,150
457,11,1,,150
457,14,1,,150
457,15,1,,150
457,16,1,,150
457,17,1,,150
457,18,1,,150
457,19,1,,150
457,20,1,,150
887,18,1,1000,
