move_id,version_group_id,language_id,flavor_text
1,3,9,"Pounds with fore­
legs or tail."
1,4,9,"Pounds with fore­
legs or tail."
1,5,9,"Pounds the foe with
forelegs or tail."
1,6,9,"Pounds the foe with
forelegs or tail."
1,7,9,"A physical attack
delivered with a
long tail or a
foreleg, etc."
1,8,9,"The foe is physically
pounded with a long
tail or a foreleg,
etc.
"
1,9,9,"The foe is physically
pounded with a long
tail or a foreleg,
etc.
"
1,10,9,"The foe is physically
pounded with a long
tail or a foreleg,
etc.
"
1,11,5,"Écrase l’ennemi avec les pattes
avant, la queue, etc."
1,11,9,"The target is physically pounded with
a long tail or a foreleg, etc."
1,14,9,"The target is physically pounded with
a long tail or a foreleg, etc."
1,15,1,"ながい　しっぽや　てなどを　つかって
あいてを　はたいて　こうげきする。
"
1,15,3,"긴 꼬리나 손 등을 사용하여
상대를 때려서 공격한다."
1,15,5,"Écrase l’ennemi avec les pattes avant ou la queue,
par exemple."
1,15,6,Ein Hieb mit den Vorderbeinen oder dem Schweif.
1,15,7,Golpea con las patas o la cola.
1,15,8,"Colpisce il bersaglio con la coda o le zampe
anteriori."
1,15,9,"The target is physically pounded with
a long tail, a foreleg, or the like."
1,15,11,"長い　しっぽや　手などを　使って
相手を　はたいて　攻撃する。
"
1,16,1,"ながい　しっぽや　てなどを　つかって
あいてを　はたいて　こうげきする。
"
1,16,3,"긴 꼬리나 손 등을 사용하여
상대를 때려서 공격한다."
1,16,5,"Écrase l’ennemi avec les pattes avant ou la queue,
par exemple."
1,16,6,Ein Hieb mit den Vorderbeinen oder dem Schweif.
1,16,7,Golpea con las patas o la cola.
1,16,8,"Colpisce il bersaglio con la coda o le zampe
anteriori."
1,16,9,"The target is physically pounded with
a long tail, a foreleg, or the like."
1,16,11,"長い　しっぽや　手などを　使って
相手を　はたいて　攻撃する。
"
2,3,9,"Has a high criti­
cal hit ratio."
2,4,9,"Has a high criti­
cal hit ratio."
2,5,9,"A chopping attack with a
high critical-hit ratio."
2,6,9,"A chopping attack with a
high critical-hit ratio."
