pokemon_id,version_id,game_index
1,1,153
1,2,153
1,3,153
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,21,1
1,22,1
2,1,9
2,2,9
2,3,9
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,2
2,14,2
2,15,2
2,16,2
2,17,2
2,18,2
2,21,2
2,22,2
3,1,154
3,2,154
3,3,154
3,4,3
3,5,3
3,6,3
3,7,3
3,8,3
3,9,3
3,10,3
3,11,3
3,12,3
3,13,3
3,14,3
3,15,3
3,16,3
3,17,3
3,18,3
3,21,3
3,22,3
4,1,176
4,2,176
4,3,176
4,4,4
4,5,4
4,6,4
4,7,4
4,8,4
4,9,4
4,10,4
4,11,4
4,12,4
4,13,4
4,14,4
4,15,4
4,16,4
4,17,4
4,18,4
4,21,4
4,22,4
5,1,178
5,2,178
5,3,178
5,4,5
5,5,5
5,6,5
5,7,5
5,8,5
5,9,5
5,10,5
5,11,5
5,12,5
5,13,5
5,14,5
5,15,5
5,16,5
5,17,5
5,18,5
5,21,5
5,22,5
6,1,180
6,2,180
6,3,180
6,4,6
6,5,6
6,6,6
6,7,6
6,8,6
6,9,6
6,10,6
6,11,6
6,12,6
6,13,6
6,14,6
6,15,6
6,16,6
6,17,6
6,18,6
6,21,6
6,22,6
7,1,177
7,2,177
7,3,177
7,4,7
7,5,7
7,6,7
7,7,7
7,8,7
7,9,7
7,10,7
7,11,7
7,12,7
7,13,7
7,14,7
7,15,7
7,16,7
7,17,7
7,18,7
7,21,7
7,22,7
8,1,179
8,2,179
8,3,179
8,4,8
8,5,8
8,6,8
8,7,8
8,8,8
8,9,8
8,10,8
8,11,8
8,12,8
8,13,8
8,14,8
8,15,8
8,16,8
8,17,8
8,18,8
8,21,8
8,22,8
9,1,28
9,2,28
9,3,28
9,4,9
9,5,9
9,6,9
9,7,9
9,8,9
9,9,9
9,10,9
9,11,9
9,12,9
9,13,9
9,14,9
9,15,9
9,16,9
9,17,9
9,18,9
9,21,9
9,22,9
10,1,123
10,2,123
10,3,123
10,4,10
10,5,10
10,6,10
10,7,10
10,8,10
10,9,10
10,10,10
10,11,10
10,12,10
10,13,10
10,14,10
10,15,10
10,16,10
10,17,10
10,18,10
10,21,10
10,22,10
11,1,124
11,2,124
11,3,124
11,4,11
11,5,11
11,6,11
11,7,11
11,8,11
11,9,11
11,10,11
11,11,11
11,12,11
11,13,11
11,14,11
11,15,11
11,16,11
11,17,11
11,18,11
11,21,11
11,22,11
12,1,125
12,2,125
12,3,125
12,4,12
12,5,12
12,6,12
12,7,12
12,8,12
12,9,12
12,10,12
12,11,12
12,12,12
12,13,12
12,14,12
12,15,12
12,16,12
12,17,12
12,18,12
12,21,12
12,22,12
13,1,112
13,2,112
13,3,112
13,4,13
13,5,13
13,6,13
13,7,13
13,8,13
13,9,13
13,10,13
13,11,13
13,12,13
13,13,13
13,14,13
13,15,13
13,16,13
13,17,13
13,18,13
13,21,13
13,22,13
14,1,113
14,2,113
14,3,113
14,4,14
14,5,14
14,6,14
14,7,14
14,8,14
14,9,14
14,10,14
14,11,14
14,12,14
14,13,14
14,14,14
14,15,14
14,16,14
14,17,14
14,18,14
14,21,14
14,22,14
15,1,114
15,2,114
15,3,114
15,4,15
15,5,15
15,6,15
15,7,15
15,8,15
15,9,15
15,10,15
15,11,15
15,12,15
15,13,15
15,14,15
15,15,15
15,16,15
15,17,15
15,18,15
15,21,15
15,22,15
16,1,36
16,2,36
16,3,36
16,4,16
16,5,16
16,6,16
16,7,16
16,8,16
16,9,16
16,10,16
16,11,16
16,12,16
16,13,16
16,14,16
16,15,16
16,16,16
16,17,16
16,18,16
16,21,16
16,22,16
17,1,150
17,2,150
17,3,150
17,4,17
17,5,17
17,6,17
17,7,17
17,8,17
17,9,17
17,10,17
17,11,17
17,12,17
17,13,17
17,14,17
17,15,17
17,16,17
17,17,17
17,18,17
17,21,17
17,22,17
18,1,151
18,2,151
18,3,151
18,4,18
18,5,18
18,6,18
18,7,18
18,8,18
18,9,18
18,10,18
18,11,18
18,12,18
18,13,18
18,14,18
18,15,18
18,16,18
18,17,18
18,18,18
18,21,18
18,22,18
19,1,165
19,2,165
19,3,165
19,4,19
19,5,19
19,6,19
19,7,19
19,8,19
19,9,19
19,10,19
19,11,19
19,12,19
19,13,19
19,14,19
19,15,19
19,16,19
19,17,19
19,18,19
19,21,19
19,22,19
20,1,166
20,2,166
20,3,166
20,4,20
20,5,20
20,6,20
20,7,20
20,8,20
20,9,20
20,10,20
20,11,20
20,12,20
20,13,20
20,14,20
20,15,20
20,16,20
20,17,20
20,18,20
20,21,20
20,22,20
21,1,5
21,2,5
21,3,5
21,4,21
21,5,21
21,6,21
21,7,21
21,8,21
21,9,21
21,10,21
21,11,21
21,12,21
21,13,21
21,14,21
21,15,21
21,16,21
21,17,21
21,18,21
21,21,21
21,22,21
22,1,35
22,2,35
22,3,35
22,4,22
22,5,22
22,6,22
22,7,22
22,8,22
22,9,22
22,10,22
22,11,22
22,12,22
22,13,22
22,14,22
22,15,22
22,16,22
22,17,22
22,18,22
22,21,22
22,22,22
23,1,108
23,2,108
23,3,108
23,4,23
23,5,23
23,6,23
23,7,23
23,8,23
23,9,23
23,10,23
23,11,23
23,12,23
23,13,23
23,14,23
